tool,nl_prompt,cli_command_demo,simulated_output,safety_note
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.0.,nmap --top-ports 100 10.0.0.0,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.1 with version detection.,nmap -sV 10.0.0.1,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.2.0/24 to find live hosts.,nmap -sn 10.0.2.0/24,Ping sweep finished. Live hosts found: 3 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.3 (aggressive timing).,nmap -A -T4 10.0.0.3,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.4 and finish fast.","nmap -p 22,80,443 10.0.0.4 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.5 and save to /lab/demo_5.out.,nmap -oN /lab/demo_5.out 10.0.0.5,Report written to /lab/demo_5.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.6.0/24 without port scanning.,nmap -sn 10.0.6.0/24 --disable-arp-ping,Host discovery only: 7 responsive on 10.0.6.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.7 (lab only).,nmap -sU --top-ports 50 10.0.0.7,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.8 with default scripts (safe NSE).,nmap -sC 10.0.0.8,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host9.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.9.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.10.,nmap --top-ports 100 10.0.0.10,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.11 with version detection.,nmap -sV 10.0.0.11,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.12.0/24 to find live hosts.,nmap -sn 10.0.12.0/24,Ping sweep finished. Live hosts found: 6 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.13 (aggressive timing).,nmap -A -T4 10.0.0.13,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.14 and finish fast.","nmap -p 22,80,443 10.0.0.14 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.15 and save to /lab/demo_15.out.,nmap -oN /lab/demo_15.out 10.0.0.15,Report written to /lab/demo_15.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.16.0/24 without port scanning.,nmap -sn 10.0.16.0/24 --disable-arp-ping,Host discovery only: 3 responsive on 10.0.16.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.17 (lab only).,nmap -sU --top-ports 50 10.0.0.17,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.18 with default scripts (safe NSE).,nmap -sC 10.0.0.18,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host19.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.19.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.20.,nmap --top-ports 100 10.0.0.20,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.21 with version detection.,nmap -sV 10.0.0.21,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.22.0/24 to find live hosts.,nmap -sn 10.0.22.0/24,Ping sweep finished. Live hosts found: 2 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.23 (aggressive timing).,nmap -A -T4 10.0.0.23,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.24 and finish fast.","nmap -p 22,80,443 10.0.0.24 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.25 and save to /lab/demo_25.out.,nmap -oN /lab/demo_25.out 10.0.0.25,Report written to /lab/demo_25.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.26.0/24 without port scanning.,nmap -sn 10.0.26.0/24 --disable-arp-ping,Host discovery only: 6 responsive on 10.0.26.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
